product_id,handle,title,vendor,status,tags,current_product_type,current_category,suggested_product_type,suggested_category_id,suggested_category_name,rule,confidence,needs_review,needs_human
9661465493825,200-billion-probiotics-suplemento-alimenticio-salud-digestiva,200 Billion Probiotics B Life Probióticos DRCaps | Salud Digestiva | 120 cápsulas,Blife,ACTIVE,+18 Años | Adultos | B-Life | duracion 120 | Indiferente | Prebióticos | prebióticos y enzimas | PRO | probioticos | Refuerzos del sistema digestivo | Refuerzos del sistema inmunitario | Salud digestiva | Sin azúcar | Sin gluten | Sin lactosa | Sistema inmunitario | Vegetariano | vitadeals,,,Probióticos,gid://shopify/TaxonomyCategory/hb-1-9-6-4-5,Probiotics,probiotico,alta,no,
9798316294465,3-in-1-joint-formula-de-irwin-naturals-apoya-la-movilidad-la-flexibilidad-y-la-fuerza-de-las-articulaciones-90-capsulas,3 in 1 Joint Fórmula de Irwin Naturals | Apoya la movilidad y flexibilidad articular | 90 cápsulas,Vitaminate,ACTIVE,duracion 22 | vitadeals,,,Articulaciones y huesos,gid://shopify/TaxonomyCategory/hb-1-9-6,Vitamins & Supplements,ai: Fórmula articular combinada 3 en 1 para movilidad y flexibilidad,media,si,no
9647470870849,3-mag-blend-citrato-oxido-y-gluconato-500-mg,"3 Mag Blend | B-Life | Citrato, Óxido y Gluconato de Magnesio | Fortalecimiento Muscular | 200 cápsulas",Blife,ACTIVE,+18 Años | Adultos | B-Life | citrato-de-calcio | descuento-15 | duracion 200 | Ganancia de masa muscular | Indiferente | Minerales | Recuperación y regeneración muscular | Salud digestiva | Sin azúcar | Sin gluten | Sin lactosa | Sistema cardiovascular | vitadeals,,,Magnesio,gid://shopify/TaxonomyCategory/hb-1-9-6-6-3,Magnesium,mineral-MAGNESIUM,alta,no,
9661476569409,triple-mag-suplemento-alimenticio-complejo-de-magnesio,"3 Mag Platinum | B-Life | Citrato, Glicinato y Treonato de Magnesio | Función Muscular | 240 cápsulas",Blife,ACTIVE,+18 Años | Adultos | B-Life | citrato-de-magnesio | Colágeno Hidrolizado | Combinados de Magnesio | descuento-15 | duracion 80 | Glicinato de Magnesio | Indiferente | Minerales | PRO | Recuperación y regeneración muscular | Sin azúcar | Sin gluten | Sin lactosa | Sistema cardiovascular | Sueño y descanso | treonato-de-magnesio | Vegetariano | vitadeals | Vitamina C | Vitamina D3,,,Magnesio,gid://shopify/TaxonomyCategory/hb-1-9-6-6-3,Magnesium,mineral-MAGNESIUM,alta,no,
9609323774273,30-billones-probioticos-prebioticos-con-vitamina-c-426mg-de-bioflora-ayuda-a-restaurar-la-flora-intestinal-35-capsulas-acido-resistentes,30 Billones Probióticos + Prebióticos con Vitamina C 426mg de Bioflora | Ayuda a restaurar la flora intestinal | 35 cápsulas ácido resistentes,Bioflora,ACTIVE,+18 Años | Adultos | Bioflora | descuento-15 | duracion 35 | Indiferente | prebióticos y enzimas | probioticos | Salud digestiva | Salud femenina | Sin azúcar | Sin gluten | Sistema inmunitario | Vegano,,,Probióticos,gid://shopify/TaxonomyCategory/hb-1-9-6-4-5,Probiotics,probiotico,alta,no,
10236749414721,5-htp-l-teanina-moody-de-matter-contribuye-enfoque-manejo-del-estres-60-capsulas,"5-HTP + L-teanina, Moody de Matter | Contribuye enfoque, manejo del estrés  | 60 cápsulas",You Matter,ACTIVE,,,,Aminoácidos y BCAA,gid://shopify/TaxonomyCategory/hb-1-9-6-1-2,Single Amino Acid Supplements,aminoacido-individual,alta,no,
9616465363265,5-htp-100-mg-de-now-foods-apoya-la-regulacion-del-sueno-60-y-120-capsulas-vegetales,5-HTP 100 mg de Now Foods | Apoya la regulación del sueño | 60 y 120 cápsulas vegetales,OLSEGO GROUP,ACTIVE,+18 Años | 5-htp | Adultos | Aminoácidos | Ansiedad y estrés | descuento-15 | duracion 60 | Indiferente | NOW Foods | Sin azúcar | Sin gluten | Sin lactosa | Sueño y descanso | Vegano | Vegetariano | vitadeals,,,Aminoácidos y BCAA,gid://shopify/TaxonomyCategory/hb-1-9-6-1-2,Single Amino Acid Supplements,aminoacido-individual,alta,no,
9999949726017,5-htp-50-mg-90-veg-caps,"5-HTP 50 mg, NOW Foods |Ayuda en el manejo del estrés cotidiano|  90 cápsulas",Vitaminate,ACTIVE,duracion 90,,,Aminoácidos y BCAA,gid://shopify/TaxonomyCategory/hb-1-9-6-1-2,Single Amino Acid Supplements,aminoacido-individual,alta,no,
9644558680385,5-htp-sinergia-50mg-vitamina-b6-de-designs-for-health-apoyo-para-la-relajacion-y-evitar-el-estres-90-capsulas-vegetales,5-HTP Sinergia 50mg + Vitamina B6 de Designs for Health | Apoyo para la relajación y evitar el estrés | 90 Cápsulas Vegetales,Vitaminate,ACTIVE,+18 Años | 5-htp | Adultos | Ansiedad y estrés | Designs for health | duracion 90 | Hormonas y Neurotransmisores | Indiferente | Sin azúcar | Sin gluten | Sin lactosa | Sueño y descanso | Vegetariano | vitadeals | Vitamina B6 (Piridoxina),,,Sueño y relajación,gid://shopify/TaxonomyCategory/hb-1-9-6-1-2,Single Amino Acid Supplements,"ai: 5-HTP como principal, B6 cofactor; enfoque relajación y descanso",alta,si,no
9609301197121,50-billones-probioticos-prebioticos-suplemento-salud-digestiva,50 Billones Probióticos + Prebióticos Bioflora | Suplemento  | Salud Digestiva,Bioflora,ACTIVE,+18 Años | Adultos | Bioflora | descuento-15 | duracion 35 | Indiferente | prebióticos y enzimas | probioticos | Salud digestiva | Sin azúcar | Sin gluten | Vegano,,,Probióticos,gid://shopify/TaxonomyCategory/hb-1-9-6-4-5,Probiotics,probiotico,alta,no,
9644213305665,aceite-de-aguacate-extra-virgen-con-vitamina-e-de-nbf-prensado-en-frio-apoyo-cardiovascular-aceite-de-260ml,Aceite de Aguacate Extra Virgen con Vitamina E de NBF | Prensado en Frío - Apoyo Cardiovascular | Aceite de 260ml,NBF,ACTIVE,+18 Años | aceite-de-aguacate | Adultos | Alimentos funcionales | duracion 60 | Indiferente | NBF | Salud digestiva | Sin azúcar | Sin gluten | Sin lactosa | Sistema cardiovascular | Vegetariano,,,Vitamina A y E,gid://shopify/TaxonomyCategory/hb-1-9-6-9-6,Vitamin E,vitamina-VIT_E,alta,no,
9999951790401,aceite-de-ajo-1500-mg-250-softgels,Aceite de Ajo 1500 mg de Now | Contribuye al fortalecimiento del sistema inmune | 250 Cápsulas,OLSEGO GROUP,ACTIVE,,,,"Ajo, orégano y antimicrobianos naturales",gid://shopify/TaxonomyCategory/hb-1-9-6-5,Herbal Supplements,"ai: Aceite de ajo en cápsulas, extracto botánico",alta,si,no
9625218122049,aceite-de-ajo-1500-mg-de-now-foods-apoyo-cardiovascular-100-capsulas-blandas,"Aceite de ajo 1500 mg Garlic Oil de NOW Foods | Favorece la función cardiovascular, contribuye al bienestar inmunológico | 100 Cápsulas Blandas",OLSEGO GROUP,ACTIVE,+18 Años | aceite-de-ajo | Adultos | Alivio del dolor crónico | descuento-25 | Hierbas | Indiferente | NOW Foods | PRO | Sin azúcar | Sin gluten | Sin lactosa | Sistema cardiovascular | Sistema inmunitario | Suplementos herbales | Vegetariano | vitadeals,,,"Ajo, orégano y antimicrobianos naturales",gid://shopify/TaxonomyCategory/hb-1-9-6-5,Herbal Supplements,"ai: Aceite de ajo en cápsulas blandas, suplemento herbal",alta,si,no
9799446659393,aceite-de-ajo-2000mg-de-natures-answer-soporte-cardiovascular-contribuye-a-mejorar-la-circulacion-sanguinea-gotero-de-30ml,Aceite de Ajo 2000mg de Nature's Answer | Favorece el sistema cardiovascular | Gotero de 30ml,Vitaminate,ACTIVE,+18 Años | Aceite de ajo | Adultos | descuento-15 | Hierbas | Indiferente | Sin azúcar | Sin gluten | Sin lactosa | Sistema cardiovascular | Sistema inmunitario | Suplementos herbales | Swanson | Vegano | Vegetariano,,,"Ajo, orégano y antimicrobianos naturales",gid://shopify/TaxonomyCategory/hb-1-9-6-5,Herbal Supplements,"ai: Aceite de ajo ingerible en gotero, extracto herbal",alta,si,no
9633529233729,aceite-de-ajo-concentrado-1mg-de-swanson-soporte-cardiovascular-contribuye-a-reforzar-el-sistema-inmunologico-250-capsulas-blandas,Aceite de Ajo Concentrado 1mg de Swanson | Soporte cardiovascular - Contribuye a reforzar el sistema inmunológico | 250 cápsulas blandas,Superlabs,ACTIVE,+18 Años | Aceite de ajo | Adultos | descuento-10 | Hierbas | Indiferente | Sin azúcar | Sin gluten | Sin lactosa | Sistema cardiovascular | Sistema inmunitario | Suplementos herbales | Swanson | Vegano | Vegetariano,,,"Ajo, orégano y antimicrobianos naturales",gid://shopify/TaxonomyCategory/hb-1-9-6-5,Herbal Supplements,ai: Aceite de ajo concentrado en cápsulas blandas,alta,si,no
10355781927233,aceite-de-borraja-1000-mg-gla-de-now-foods-equilibrio-y-bienestar-de-la-piel-60-softgels,Aceite de Borraja 1000 mg GLA de NOW Foods | Equilibrio y bienestar de la piel | 60 cápsulas blandas,OLSEGO GROUP,ACTIVE,nuevo,,,Omega 3 y aceites de pescado,gid://shopify/TaxonomyCategory/hb-1-9-6-11,Omega Fatty Acids,aceite-acido-graso,alta,no,
9999955820865,aceite-de-citronela-1-fl-oz-30ml,"Aceite de Citronela, NOW, 100% puro | Bienestar Natural | 30 ml",Vitaminate,ACTIVE,,,,Aceites esenciales y aromaterapia,gid://shopify/TaxonomyCategory/hb-3-21-1,Essential Oil Singles,"ai: Aceite esencial puro de citronela, uso tópico/aromático no ingerible",alta,si,no
